id,example,term,pos,sense_id,definition,ANNOTATION,DEFICIENT SENTENCE
274,"In my profession, I have seen more than my share of blowhards who use volume to intimidate the weak, fool the feeble-minded, or control the insecure or lazy who would just as soon have someone do their thinking for them anyway.",blowhard,noun,1,"A person who talks too much or too loudly, especially in a boastful or self-important manner. [from c. 1840]",,
4210,"As in much of biology, the most satisfying truths in ecology derive from manipulative experimentation. Tinker with nature and quantify how it responds.",tinker,verb,2,"To fiddle with something in an attempt to fix, mend or improve it, especially in an experimental or unskilled manner.",,
1620,"They called them 'Freds', a pejorative term that implied they were middle-aged and dowdy, and sniped that their only talent was staying awake for long periods. After it had been running for a couple of years, one of Jock's friends challenged him to put the Freds in their place. Jock, his competitive spirit pricked, agreed.",Fred,noun,1,A novice cyclist.,,
1374,"Be careful of the taxi drivers out there though, I've heard they sell you drugs, drop you off at your hotel and then dob you in to the Thai Police to get a fatty reward!",fatty,adjective,3,Literally or figuratively large.,,
4380,"Because of deregulation and the drive to lower costs, Mr. Lorr said, truckers are now regarded by many companies as just another replaceable part. Some can barely eke out a living.",trucker,noun,3,A truck driver.,,
2393,We prefer local produce.,local,adjective,1,From or in a nearby location.,,
916,Lindros would rather jab a stick at someone retaliating for a fair hit than to wait his turn to get his own in ... Eric is just a bleeping crybaby ... a big bully and like most bullies just can't take it ... likes to dish it but can't take it ... geesh a little guy like Stock gets his goat ...Go in the corner and cry with your crybully with an attitude ...,crybully,noun,1,"A person who engages in intimidation, harassment, or other abusive behaviour while claiming to be a victim.",,
3881,"‘Have a sook! Have a sook!’, they'd all yell. But that time I didn't go outside to cry.",sook,noun,6,A sulk or complaint; an act of sulking.,,
2981,“Dead Man Walking” is a powerful and intelligent piece of work.,piece of work,noun,1,"A product or manufactured article, especially an item of art or craft.",,
2592,"You mess with me, and I will come at you like a motherfucker.",motherfucker,noun,3,"An extremely intense experience, often but not always negative.",,
1433,"[I]rrationall creatures cannot diſtinguiſh betvveene Injury, and Dammage; and therefore as long as they be at eaſe, they are not offended vvith their fellovves:  […]",fellow,noun,4,"A person or thing comparable in characteristics with another person or thing; especially, as belonging to the same class or group.",,
627,"With Wallace vanquished, antispammers turned their attention to smaller foes, whom they jokingly referred to as chickenboners. Unlike big operators such as Wallace who incorporated their businesses and maintained office space with hired employees and other trappings of legitimacy, chickenboners were imagined by spam fighters as living in mobile homes with a personal computer on the kitchen table, surrounded by beer cans and buckets of take-out fried chicken.",chickenboner,noun,1,A small-time spammer.,,
