id,example,term,pos,sense_id,definition,ANNOTATION,DEFICIENT SENTENCE
3741,"Buried within the Mediterranean littoral are some seventy to ninety million tons of slag from ancient smelting, about a third of it concentrated in Iberia. This ceaseless industrial fueling caused the deforestation of an estimated fifty to seventy million acres of woodlands.",slag,noun,3,Impurities formed and separated out when a metal is smelted from ore; vitrified cinders.,,
1600,Fame leaves out the house and walks to the BP gas station on Alabama Avenue.  On the way there he sees his man Mark posted up at the rec center and walks over to holla at him. “What’s up fool?” Mark says while dapping Fame up.,fool,noun,6,A type of dessert made of puréed fruit and custard or cream.,,
1779,"once you try to honestly engage with gendies it becomes painfully clear that they do not think women are oppressed. even if they do point to some kind of oppression, it is usually like ""men say nasty things on tinder"" and like five of them will say ""child marriage""",gendie,noun,1,A person who is deeply invested in novel gender identities and the subversion of traditional gender ideology.,,
904,"""Oh. Remember Monday I was complaining about Geneva Jones being in my health class? Wondering why bother since she's already got every crotch critter in the textbook?""",crotch critter,noun,1,"A sexually transmitted pathogen, particularly pubic lice.",,
1449,"[Y]ou don't knovv vvhat a Devil of a Fellovv he is. He can take me up vvith one Hand, and throvv me out at VVindow,  […]",fellow,noun,6,"A male person; a bloke, a chap, a guy, a man; also, preceded by a modifying word, sometimes with a sense of mild reproach: used as a familiar term of address to a man.",,
1870,"Put another way, there could be a lot of “Glassholes” out there.",glasshole,noun,1,"A person who wears spectacle frames equipped with PDAs (especially with cameras) that display into the user's eyes, and who acts like a jerk or films inappropriately. [from 2013]",,
1560,"To the flatlander the third dimension necessarily appears to be a process, something he travels through as he moves or is shifted across an area. He cannot occupy more than one position in the third dimension simultaneously.",flatlander,noun,2,An inhabitant of or observer in a universe with two spatial dimensions.,,
556,"“[…]—Say, do you mind telling me if people around here really eat cats?” He felt a shiver in the pit of his stomach. “Do they eat cat?” said the little old man, profoundly shocked.",cat,noun,2,"The meat of this animal, eaten as food.",,
1312,"Boating when epicene is nice, in truth, / E'en though one must allow, / The danger of giving the helm to youth / While pleasure rules the prow. / [...] / 'Tis best when Frank takes his cousin ashore, / She loves botanising, / While Sissy who's left, can handle an oar / In a manner surprising.",epicene,adjective,3,Suitable for use regardless of sex; unisex.,,
201,Language is what separates man and beast.,beast,noun,1,"An animal, especially a large or dangerous land vertebrate.",,
804,We need to figure out how to balance the public interest in learning about a mass shooting with the public interest in reducing copycat crime.,copycat,adjective,1,Imitative; unoriginal.,,
4633,"I know a lie when I hear one, even from a wordster like you.",wordster,noun,1,One who is skilled at using words; a wordsmith. [from early 20th c.],,
344,The stretes of the citie shalbe full of yonge boyes and damselles...,boy,noun,1,A young male human. [from 15th c.],,
1331,"Yet many pure-bred, if unregistered, Eskimos are still kept along the Canadian border for use in sled racing.",Eskimo,noun,2,A dog of the American Eskimo breed.,,
2830,"Also the Lord said to Moses, enter thou to Pharaoh, and thou shalt say to him, The Lord saith these things, Deliver thou my people, that it make sacrifice to me; soothly [truly] if thou nilt [wilt not] deliver, lo! I shall smite all thy terms [lands] with paddocks; and the flood shall boil out paddocks; […]]",paddock,noun,3,"A frog; A toad; A contemptible, or malicious or nasty, person. ",,
2528,"Moreover, ""Eva"" boasts little style beyond what its biggest star is able to bring to the table. Viewers hoping for more of the milquetoast elegance that [Benoît] Jacquot previously brought to the likes of ""Farewell, My Queen"" and ""Diary of a Chambermaid"" will be disappointed.",milquetoast,adjective,1,"Meek, timid; lacking character or effectiveness.",,
3386,to retard a rupture between nations,retard,verb,2,To put off; to postpone.,,
3457,"Obedient to this summons there ranged themselves in front of the schoolmaster's desk, half-a-dozen scarecrows, out at knees and elbows, one of whom placed a torn and filthy book beneath his learned eye.",scarecrow,noun,2,"A person regarded as resembling a scarecrow (sense 1) in some way; especially, a tall, thin, awkward person; or a person wearing ragged and tattered clothes.",,
4027,"While incels rant against Stacys for only paying attention to alpha men, they desire and despise them at the same time for being, according to the incel stereotype, attractive, spoiled, successful, and promiscuous all at once.",Stacy,noun,1,An attractive woman who is sexually active.,,
1941,"Feeling down? Pop a greenie. Had a rough night? Pop a greenie. Long road trip? Double header? Need a base hit? The answer for it all was the same: pop a greenie.“Greenies were what everyone was doing,” Koch says.",greenie,noun,6,"A small, green object.",,
3104,"He's a figment of your subconscious Eric, not mine, so I tapped into Ultimate Reality and poofed him out.",poof,verb,1,To vanish or disappear.,,
1577,Because of this a whole different class of states called the fluffybunnies arises which are robust entanglements due to the measurements and interactions between particles.,fluffy bunny,noun,3,Quantum entanglemant that occurs in theory but which seldom (or never) arises because of other physical restrictions.,,
2406,"I got barred from my local, so I've started going all the way into town for a drink.",local,noun,4,One's nearest or regularly frequented public house or bar.,,
2192,"“Here’s what I could do,” Eve supposed. “I could slap your head against that wall, while I’m kicking your balls into your belly,” she added to the companion. “And after that, I can have you in restraints while I turn out your pockets. You’re carrying illegals.",illegal,noun,2,"Contraband, esp. illegal substances such as drugs.",,
3548,"Ah Captaine, lay not all the fault upon Officers you know you can ſhark though you be out of action, witneſſe Montague.",shark,verb,5,To live by shifts and stratagems.,,
