id,example,term,pos,sense_id,definition,ANNOTATION,DEFICIENT SENTENCE
1628,It is incontestably the case that future generations enjoyed the extraordinary fruits of the Industrial Revolution’s “great enrichment”.,fruit,noun,3,"An end result, effect, or consequence; advantageous or disadvantageous result.",,
2378,"My sister read the Deborah Jackson book when she was pregnant. She was enchanted, being a full-on lentil-weaver.",lentil-weaver,noun,1,"A left-wing, environmentalist or hippie person.",,
2732,"[S]hall I be call'd as many blockheads, numſculs, doddypoles, dunderheads, ninnyhammers, gooſecaps, joltheads, nicompoops, and ſ—t-a-beds—and other unſavory appelations,  […]",nincompoop,noun,1,A foolish or silly person. [from 16th c.],,
1061,"Shut up, dicksucker. Nobody likes you.",dicksucker,noun,2,Term of abuse.,,
1829,"Regarding this human angle, DeMille wrote, ""I am sometimes accused of gingering up the Bible with large and lavish infusions of sex and violence. I can only wonder if my accusers have ever read certain parts of the Bible.""",ginger,verb,2,"To enliven, to spice (up).",,
2268,"The creeks gave us lots of food, too—yellow belly and jew, perch and eel.",jew,noun,1,The jewfish. [from 19th c.],,
2698,"“Well, needle dick isn't going to be able to service you. Maybe I'll bring my brother in here. He's got a nice, man-sized prick. We could fuck both your holes at the same time.”",needle dick,noun,2,A man with a tiny penis; usually used as a disparaging form of address.,,
187,"OK, I'm pissed. Those record company bastiches who decide what songs go on what albums and cds. The Live After Death cd would be awsome if the mother fuckers at capitol would have left all of the songs on it.",bastich,noun,1,An obnoxious or contemptible person.,,
2836,"Padock calls anon: faire is foule, and foule is faire, / Houer through the fogge and filthie ayre.“Padock” is a spirit in the shape of a toad. ",paddock,noun,3,"A frog; A toad; A contemptible, or malicious or nasty, person. ",,
2756,Be jovial but not a comedian. We have a sense of humor that the normies don't have.,normie,noun,1,"A normal person; one with commonly held, normative beliefs, neurology, tastes or interests.",,
2598,I think it was the Fourth of July when they took the chair from under my ass again. Not a word of warning. One of the big muckamucks from the other side of the water had decided to make economies;  […],muckamuck,noun,1,"A person in a position of power or authority, or of high status.",,
1832,"There he is, moving in his best form, with the full knowledge that that long whip in his rear will once more be round his flanks, as it has often been before, if he fails to wake up when he comes out for a show—well gingered, too, we should say, and all life and action.",ginger,verb,3,To apply ginger to the anus of a horse to encourage it to carry its tail high and move in a lively fashion.,,
117,"Two young giants with smooth, baby faces—two Scandinavians—helped each other to spread their bedding, silent, and smiling placidly at the tempest of good-humoured and meaningless curses.",baby face,noun,1,"A face, often chubby, resembling that of a baby; a youthful face.",,
4289,Professional gamblers have a cushy racket in college football because old grads and even townies of college localities are sentimental bettors and easy to separate from their money.,townie,noun,1,A person living in a university area who is not associated with the university.,,
3557,"He'll take himself down.Yeah, history always proves that, right? Just wait for justice, you sheeple…",sheeple,noun,1,People who unquestioningly accept as true whatever their political leaders say or who adopt popular opinion as their own without scrutiny.,,
1038,The slow cinema verite pacing of this film suited it's totally depressoid theme.,depressoid,adjective,2,Depressing or miserable.,,
4187,"A federal balanced budget sounds good in political speeches, but in reality the idea is simply a taxocrat's dream, as it would become a constitutional order to cover all spending, even the unnecessary, deficit kind.",taxocrat,noun,1,A politician or bureaucrat supporting excessive taxes or spending.,,
846,The sight made my flesh creep.,creep,verb,8,To have a sensation as of insects creeping on the skin of the body; to crawl.,,
1749,"Then believe it or not, I worked for some time as a garbo, collecting the rubbish in the wee hours of the morning.",garbo,noun,1,A rubbish collector; a garbage man.,,
2965,"The object of such an aesthetic education is not the creation of a society of aesthetes. Aesthetes, in that pejorative sense, are as unbalanced as philistines.",philistine,noun,1,"A person who is ignorant or uneducated; specifically, a person who lacks appreciation of or is antagonistic towards art or culture, and who has pedestrian tastes.",,
3101,"Even now, in the spring, the river softly cries, 'Menthol, Menthol, you are one wazoo. One day I'm the elf next door and the poof I'm a river.'",poof,interjection,1,"Onomatopoeia indicating a small explosion with a cloud of smoke; as caused by a deflating object, or a magical disappearance.",,
1175,drudge work,drudge,noun,1,A person who works in a low servile job.,,
1990,"[L]ike many model train enthusiasts, he now takes some pride in being called a foamer, or a gunzel, or even a gricer – all names for those who enjoy model trains.",gunzel,noun,1,A railway or tram enthusiast; particularly (formerly derogatory) one who is overly enthusiastic or foolish.,,
2076,Say that you’d only just got used to telling your friends your daughter was a lesbian and do not relish having to inform them that she is now a hasbian.,hasbian,noun,1,A woman who formerly identified as lesbian but now identifies as heterosexual or bisexual.,,
1142,"However, sensing the available traction may actually be more important to a drifter.",drifter,noun,3,A driver who uses driving techniques to modify vehicle traction to cause a vehicle to slide or power slide rather than drive in line with the tires.,,
615,"But despite their seemingly rampant Anglophilia, there are still some things the French miss—a good steak tartare, for instance, or the chance to cheer on their rugby team without being shouted down as ‘cheese-eating surrender monkeys’.",cheese-eating surrender monkey,noun,1,A French person.,,
823,"Likewise, early software pirates and ""crackers"" often used phrases like ""information wants to be free"" to protest the regulations against the copying of proprietary software packages and computer systems.",cracker,noun,9,One who cracks (i.e. overcomes) computer software or security restrictions.,,
180,"Of what race could these people be? Their language was a bastard Arabic, and yet they were not Arabs; I was quite sure of that.",bastard,adjective,4,"Of abnormal, irregular or otherwise inferior qualities (size, shape etc).",,
665,It shouldn't be hard to put one over on that chump.,chump,noun,2,A gullible person; a sucker; someone easily taken advantage of; someone lacking common sense.,,
