id,example,term,pos,sense_id,definition,ANNOTATION,DEFICIENT SENTENCE
1466,"So I took the gun and went up a piece into the woods and was hunting around for some birds, when I see a wild pig; hogs soon went wild in them bottoms after they had got away from the prairie farms. I shot this fellow and took him into camp.",fellow,noun,8,An animal or object.,,
3462,"The Canada West Foundation dismisses these concerns as ""political scarecrows""; fearsome at first glance but irrelevant on closer examination. Unfortunately the problems of an elected Senate cannot be dismissed so easily.",scarecrow,noun,4,Anything that appears terrifying but presents no danger; a paper tiger. ,,
2427,"“I'm not a lot lizard,” I say. “I'm just passing through.”",lot lizard,noun,1,A prostitute at a truck stop.,,
4453,"Don't you interrupt me, you vagina! I was givin' a heart-wrenchin' soliloquy about me feelin's for Tugger!",vagina,noun,4,A coward; a weakling; a pussy.,,
4658,"It would reinforce the division of the world into, if I might generalise wickedly, the Jaguar set and yurt-dwelling yoghurt-knitters.",yoghurt-knitter,noun,1,"A left-wing, environmentalist or hippie person.",,
1724,Sometimes we see the knuckles ornamented with gads or gadlings.,gad,noun,8,A spike on a gauntlet; a gadling.,,
4513,But its[sic] all over. Too bad. I suppose the boychild had hoped for some little Weeaboo boy who would fuck him up the ass in his mothers[sic] basement. He just really wanted to play dirty Gohan/Goku with someone like him.He is pretty sure Weeaboo’s[sic] hate halfassed black kids with cumstained sweatshirts though.,weeaboo,noun,1,"A non-Japanese person, stereotypically an unsociable white male, who is overly infatuated with Japanese culture; a loser Japanophile.",,
472,That guy keeps interrupting the concert. Throw the bum out!,bum,noun,4,"A lazy, incompetent, or annoying person, usually a man.",,
968,"In some CNC programs, the diameter of the cutter  is handled by cutter compensation codes.",cutter,noun,1,A person or device that cuts (in various senses).,,
2659,"In fact, people who even used a name or tried to maintain any continuity of identity at all were generally mocked as namefags.",namefag,noun,1,"A person who uses a name online (either their real name or a username) as opposed to posting anonymously, especially on the 4chan community.",,
4090,"He paused at the octopus tank. Clyde, our resident giant Pacific octopus, was suckering his way across the front panel.",sucker,verb,3,To move or attach oneself by means of suckers.,,
4505,"Andrew Clark: Yo, wastoid. You're not gonna blaze up in here.",wastoid,noun,1,A person with a drug or alcohol addiction.,,
1261,"And of them they make tvvo ſorts, the good Angels, and the bad: becauſe the good pricketh a man forvvard, to grace, goodneſſe, vertue, and honeſty: the other eggeth him to levvdneſſe, miſchiefe, ſhame, villany, and all kinde of looſe diſhoneſty.",egg,verb,5,"To encourage, incite, or urge (someone).",,
720,"What a fucking clown shoe you are, Billy. Ya got nothing.",clown shoe,noun,2,An incompetent or foolish person.,,
