id,example,term,pos,sense_id,definition,ANNOTATION,DEFICIENT SENTENCE
2842,This community has a surprising number of pagans.,pagan,noun,1,A person not adhering to a main world religion; a follower of a pantheistic or nature-worshipping religion.,,
1498,Nothing like the howling and gnashing of teeth heard from the fembitches in response to the accusations made against Clarence Thomas. The same goes for the Democrats.,fembitch,noun,1,"An intolerant feminist, often used by anti-feminists to refer to a feminist in general.",,
2443,"For instance, the Luddites, so maligned as technology-fearing machine breakers, were a highly sophisticated insurrectionary movement, composed of small, well-disciplined groups who used disguises and watchwords, raised funds and gathered arms, terrorized their opponents, and carried out well-planned, targeted attacks. ",Luddite,noun,1,Any of a group of early-19th-century English textile workers who destroyed machinery because it would harm their livelihood.,,
3082,"The notion of ‘police’ – that is, rational administration – was seen as a historical force which could bring civilized improvement to societies.",police,noun,5,"Synonym of administration, the regulation of a community or society. [from 17th c.]",,
832,Lizards and snakes crept over the ground.,creep,verb,1,To move slowly with the abdomen close to the ground.,,
2496,Many a seaman’s life may have depended on equine speed and strength. Some of these ‘Lifeboat Horses’ used to recognise the maroon which was fired to summon the Lifeboat crew. Long after its retirement one of the horses which regularly helped to haul the Hoylake Lifeboat heard a maroon fired one day when it was working in the neighbouring fields. It immediately became very excited and made for the boathouse.,maroon,noun,4,"A rocket-propelled firework or skyrocket, often one used as a signal (for example, to summon the crew of a lifeboat or warn of an air raid).",,
1324,"Due to their lexical gender-neutrality, feminine epicenes can easily be used to refer to both sexes despite their fixed feminine grammatical gender. [...] Compared to the cases of feminine male personal nouns mentioned at the beginning of this chapter, feminine epicenes are generally less pejorative in meaning. Many MF languages of the Indo-European family, for example, possess a feminine noun denoting 'person': e.g. Catalan/Italian/Spanish persona, French personne, Portuguese pessoa, Romanian pesoană, German Person, Icelandic persóna, Czech/Polish/Serbian osoba, Slovenian oseba.",epicene,noun,1,An epicene word; preceded by the: the epicene words of a language as a class.,,
3020,"Gipsies and the pikey race generally were a class outside Lord Sandbar's previous experience, and he listened greedily.",pikey,noun,2,"An itinerant person, especially one of Romani or Irish Traveller heritage.",,
3940,You may not move a piece to a square already occupied by one of your own pieces.,square,noun,2,"Something characterized by a square, or nearly square, form.",,
2240,Snow stalled him in the timber; his food was all but gone when he managed to kill an antelope and jerk a supply of venison.,jerk,verb,8,"To cure (meat) by cutting it into strips and drying it, originally in the sun.",,
1856,"When there are two ""girl"" genes the plant is a girl dwarf.",girl,noun,10,"A female (tree, gene, etc).",,
